location,latitude,longitude,count
Roma,41.893320,12.482932,321
Napoli,40.835885,14.248768,124
Milano,45.464194,9.189635,123
Europa,51.000000,10.000000,88
Sicilia,37.587794,14.155048,76
Parigi,48.858890,2.320041,66
Torino,45.067755,7.682489,61
Puglia,40.984254,16.621003,48
New York,40.712728,-74.006015,39
Sardegna,40.091281,9.030577,39
America,39.783730 -100.445882,38
Francia,46.603354,1.888334,36
Palermo,38.111227,13.352443,35
Firenze,43.769796,11.255640,29
Venezia,45.437191,12.334590,29
Stati Uniti,39.783730 -100.445882,28
Londra,51.507446,-0.127765,27
Svizzera,46.798562,8.231974,25
Bologna,44.493820,11.342633,25
Africa,11.502434,17.757812,23
Germania,51.163818,10.447831,21
Spagna,39.326068,-4.837979,21
Bari,41.125784,16.862029,19
Sud Italia,51.519924,-0.075344,18
Toscana,43.458654,11.138920,18
Mediterraneo,35.000003,19.999996,18
Russia,64.686314,97.745306,18
Calabria,39.056597,16.524986,17
Trieste,45.649648,13.777278,17
Los Angeles,34.053691 -118.242766,16
Buenos Aires -34.609558,-58.388790,16
Brasile -10.333333,-53.200000,14
Marocco,28.334772,-10.371338,14
Argentina -34.996496,-64.967282,14
Albania,41.000028,19.999962,14
Alba,56.786111,-4.114052,13
Grecia,38.995368,21.987713,13
Cinecittà,41.849274,12.574408,12
Cagliari,39.217199,9.113311,12
Campania,40.860672,14.843984,11
Taranto,40.548816,17.080580,11
Veneto,45.647666,11.866525,11
Basilicata,40.500571,16.081953,11
Romania,45.985213,24.685923,10
California,36.701463 -118.755997,10
Berlino,52.517389,13.395131,10
Asia,51.208697,89.234375,10
Ostia -31.459562,-64.203430,9
Cina,35.000074,104.999927,9
Mosca,55.625578,37.606392,9
Genova,44.407260,8.933862,9
Siria,34.640186,39.049411,9
Trentino,46.102954,11.129743,8
Sud America -28.500426,-59.041136,8
Padova,45.391408,11.805849,8
Messico,23.658512 -102.007710,8
Palestina,31.519785,35.049478,8
Salento,40.248604,15.190058,8
Madrid,40.416782,-3.703507,8
Ucraina,49.487197,31.271832,8
Austria,47.593970,14.124560,8
Cuba,23.013134,-80.832875,8
Israele,30.812425,34.859476,8
Iraq,33.095579,44.174977,8
Libia,51.671144,7.716507,7
Capri,40.548843,14.228371,7
Dolomiti,46.294572,12.051324,7
Las Vegas,36.167426 -115.148413,7
Vesuvio,40.821396,14.426197,7
Catania,37.502361,15.087372,7
Canada,61.066692 -107.991707,7
Verona,45.442498,10.985738,7
Praga,50.087465,14.421254,7
Inghilterra,52.531021,-1.264906,7
Giappone,36.574844,139.239418,6
Afghanistan,33.768006,66.238514,6
Alto Adige,46.655946,11.230213,6
Abruzzo,42.227681,13.854983,6
Tevere,41.775209,12.267492,6
Marche,43.345839,13.141587,6
Salerno,40.419442,15.310609,6
Cilento -34.429434,-58.728160,6
Turchia,39.294076,35.231663,6
Egitto,26.254049,29.267547,6
Vaticano,41.903411,12.452853,6
Amsterdam,52.373080,4.892453,6
Pisa,43.471472,10.679791,6
Olanda,52.243498,5.634323,6
Rimini,43.946543,12.630749,6
Ferrara,44.766764,11.827939,5
Atlantico,10.677342,-74.971867,5
Budapest,47.481390,19.146094,5
Reggio Calabria,38.103539,15.639756,5
San Pietroburgo,59.960674,30.158655,5
Nord Italia,46.048759,10.061350,5
Balcani,41.778502,23.814677,5
Slovenia,46.119944,14.815333,5
Messina,38.193757,15.554208,5
Miami,25.774157,-80.193597,5
Piemonte,45.060735,7.923549,5
Stoccolma,59.325117,18.071093,5
Portogallo,39.662165,-8.135352,5
Malta,35.931144,14.395163,5
Lazio,41.980804,12.766231,5
Appennini,42.454444,13.466667,5
Manhattan,40.757955,-73.985532,5
Unione Sovietica,40.895267,14.201608,5
Florida,27.756767,-81.463983,5
Tunisia,33.843941,9.400138,5
Isola,45.539894,13.659390,5
Belgio,50.640281,4.666715,5
Matera,40.447642,16.473574,5
Agrigento,37.312299,13.574650,4
Ancona,43.480119,13.218728,4
Danubio,45.184268,20.180851,4
America Latina,22.395160,-79.972103,4
Torre Annunziata,40.752524,14.455004,4
Lucania,40.500571,16.081953,4
Atene,37.975565,23.734832,4
Svezia,59.674971,14.520858,4
Marsiglia,43.296174,5.369953,4
Barcellona,41.382580,2.177073,4
Armenia,40.769627,44.673665,4
Texas,31.263890,-98.545612,4
Mantova,45.169263,10.670837,4
Aspromonte,43.783272,7.244088,4
Colombia,4.099917,-72.908813,4
Avana,23.135305,-82.358963,4
Colosseo,41.890942,12.491903,4
Treviso,45.806691,12.206316,4
Appennino,42.977801,13.079699,4
Cortina,43.329754,-5.797077,4
Lisbona,38.707751,-9.136592,4
Occidente,5.820899,-74.497136,4
Polonia,52.215933,19.134422,4
Polo Nord,45.055574,7.649319,4
Sarajevo,43.857071,18.412615,4
Serbia,44.024323,21.076574,4
Norvegia,61.152939,8.787665,4
Belgrado,44.815332,20.445659,4
Rebibbia,41.925719,12.572892,4
Bosnia,44.305348,17.596147,4
Bruxelles,50.846557,4.351697,4
Procida,40.764999,14.023906,4
Romagna,44.491446,11.343571,4
Rio de Janeiro -22.911014,-43.209373,4
Gerusalemme,31.778847,35.225786,4
Algeria,28.000027,2.999983,4
Vienna,48.208354,16.372504,4
Alpi,45.908326,9.142063,4
Adriatico,43.702151,14.667946,3
Gorizia,45.944128,13.625229,3
Esquilino,41.894666,12.506885,3
Pescara,42.310262,13.957590,3
Piazza Vittorio,41.894579,12.504323,3
Caserta,41.203519,14.116862,3
Parma,44.695201,10.097987,3
Siberia,45.168544,8.090216,3
Casablanca,33.594514,-7.620028,3
Patagonia,31.540202 -110.753927,3
Bordeaux,44.841225,-0.580036,3
Potenza,40.517312,15.821609,3
Regno di Napoli,40.427881,-3.703565,3
Rotterdam,51.924442,4.477750,3
Bengala -22.551426,-42.663561,3
San Pietro,45.885811,11.362210,3
Bucarest,44.436141,26.102684,3
